label,area,perimeter,circularity,aspect_ratio,compactness,roundness,area_um2,diameter_um
1,91590.0,1186.9158723275375,0.8169924588695415,1.1154748749874492,1.2240015059425184,1.2240015059425184,1590104.166666667,1422.87859821144
2,78631.0,1160.0113267570425,0.7343095953031109,1.706804188782757,1.3618234139882328,1.3618234139882328,1365121.527777778,1318.3803368284691
3,67514.0,1063.862048458375,0.749606028462404,1.397074434398526,1.3340340952849665,1.3340340952849665,1172118.0555555557,1221.6329479149701
4,66449.0,1013.9280656363574,0.8122393479196485,1.1439260890830774,1.231164191394143,1.231164191394143,1153628.4722222225,1211.959318940097
5,56422.0,994.8254685319159,0.7164148021166782,1.6120678586347112,1.3958393894786334,1.3958393894786334,979548.6111111112,1116.781101047592
6,143293.0,1680.5626253092632,0.6375664234845109,1.4593986726958663,1.5684640269082397,1.5684640269082397,2487725.694444445,1779.7389501329715
7,73938.0,1152.0041840821061,0.7001151087442645,1.6435675661382492,1.4283365513902604,1.4283365513902604,1283645.8333333335,1278.432100830749
