label,area,perimeter,circularity,aspect_ratio,compactness,roundness
1,102101.0,1210.95750288788,0.8749476217048328,1.1508479741011401,1.1429255594197778,1.1429255594197778
2,297586.0,2119.8489885977783,0.8321708739719422,1.3719547325158574,1.2016762798089908,1.2016762798089908
3,102035.0,1239.7371567773473,0.8342568804255263,1.3860519130345008,1.1986715644346064,1.1986715644346064
4,125709.0,1365.6782822743016,0.8469922362452035,1.3008763409693844,1.1806483663098193,1.1806483663098193
5,275011.0,2024.5037508062173,0.8431847784019236,1.4302778121054478,1.1859796637876767,1.1859796637876767
6,314660.0,2165.6580797387683,0.8430855042536562,1.1994423419440203,1.1861193140608588,1.1861193140608588
